Name,Status,Attribute,type
Diapason de Force,Unlimited(OCG)/Unlimited(TCG),EAU,[Démon/Syntoniseur／Effet]
Diapason Horloge,Unlimited(OCG)/Unlimited(TCG),TERRE,[Démon/Syntoniseur／Effet]
Dragon Rouge Archdémon,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Synchro／Effet]
Roi Archdémon du Chaos,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Synchro／Effet]
Diapason à Réaction,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Sécurité Écarlate,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Vase du Dragon Rouge,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Feu de la Colère,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Chaîne Démoniaque,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Écran Rouge,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Tapis Rouge,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Chevalier de la Rose du Crépuscule,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Syntoniseur／Effet]
Épine Diabolique,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Plante/Effet]
Fée de la Rose,Unlimited(OCG)/Unlimited(TCG),VENT,[Plante/Effet]
Bulbe Luisant,Unlimited(OCG)/Forbidden(TCG),TERRE,[Plante/Syntoniseur／Effet]
Ange Banni des Roses,Unlimited(OCG)/Unlimited(TCG),TERRE,[Plante/Effet]
"Rosaria, l'Imposant Ange Banni (Actualisé de : Rosaria, l'Imposant Ange Déchu)",Unlimited(OCG)/Unlimited(TCG),TERRE,[Plante/Effet]
Reine Angélique de la Rose,Unlimited(OCG)/Unlimited(TCG),TERRE,[Plante/Effet]
Sorcière de la Rose,Unlimited(OCG)/Unlimited(TCG),TERRE,[Plante/Effet]
Dragon Rose Noire,Unlimited(OCG)/Unlimited(TCG),FEU,[Dragon/Synchro／Effet]
Épines Perfides,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Prison de Lierre,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Étoile Siphon,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Aile Noire - Mistral le Tourbillon,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Syntoniseur／Effet]
Aile Noire - Bora la Lance,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet]
Aile Noire - Sirocco l'Aube,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet]
"Aile Noire - Blizzard, la Tempête d'Extrême Nord",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Syntoniseur／Effet]
Aile Noire - Shura la Flamme Bleue,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet]
Aile Noire - Kalut l'Ombre de la Lune,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet]
Aile Noire - Elphin le Corbeau Funeste,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet]
Aile Noire - Mistral le Bouclier d'Argent,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Syntoniseur／Effet]
Aile Noire - Vâyu l'Étendard de la Justice,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Syntoniseur／Effet]
Aile Noire - Foehn la Chaîne d'Acier (Actualisé de : Aile Noire - Foehn la Chaîne de Fer),Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet]
Aile Noire - Ghibli le Vent Flamboyant,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet]
Aile Noire - Rafale la Bourrasque,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet]
Aile Noire - Brise le Zéphyr,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Syntoniseur／Effet]
Aile Noire - Etesia la Double Lame,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet]
Aile Noire - Aurora la Lumière du Nord,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Bête Ailée/Effet]
Aile Noire - Abrolhos le Méga Séisme,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet]
Aile Noire - Boreas le Tranchant,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet]
Aile Noire - Brisote le Vent Arrière,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet]
Aile Noire - Calima la Brume,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet]
Aile Noire - Kogarashi le Vagabond,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Syntoniseur／Effet]
Aile Noire - Kochi l'Aube,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Syntoniseur／Effet]
Aile Noire - Gladius du Soleil de Minuit,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet]
Aile Noire - Maître des Armures,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Synchro／Effet]
Aile Noire - Arsenal Aérien,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Synchro／Effet]
Aile Noire - Vent d'Argent le Suprême,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Synchro／Effet]
Dragon Ailes Sombres,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Synchro／Effet]
Tourbillon Noir,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Cartes Plumes Noires,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Aile Noire - Bourrasque,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Retour Funèbre,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Assistance Noire,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Esprit de la Terre Immortel Aslla piscu,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet]
Esprit de la Terre Immortel Ccapac Apu,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet]
Esprit de la Terre Immortel Cusillu,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête/Effet]
Esprit de la Terre Immortel Chacu Challhua,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Poisson/Effet]
Esprit de la Terre Immortel Wiraqocha Rasca,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête Ailée/Effet]
Esprit de la Terre Immortel Ccarayhua,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Reptile/Effet]
Esprit de la Terre Immortel Uru,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Insecte/Effet]
Esprit de la Terre Linewalker,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Effet]
Dragon aux Cent Yeux,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Synchro／Effet]
Tornade des Esprits de la Terre,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Résurrection de l'Esprit de la Terre Immortel,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Résurrection des Immortels,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Fissure des Esprits de la Terre,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Hurlement de l'Esprit de la Terre Immortel,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Offrande aux Immortels,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Armée Meklord de Wisel,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet]
Armée Meklord de Granel,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet]
Fortissimo la Fortresse Mobile,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Bénédiction de l'Empereur Meklord,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Armée Meklord Déterminée,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Chaos Infini,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Usine Meklord,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
"Tanngrisnir, Bête Nordique",Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet]
"Gullfaxi, Bête Nordique",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Bête/Syntoniseur／Effet]
"Garmr, Bête Nordique",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête/Effet]
"Tanngnjóstr, Bête Nordique",Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet]
"Ljósálfur, Alfe Nordique",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Effet]
"Svartálfur, Alfe Nordique",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Syntoniseur／Effet]
"Dverg, Alfe Nordique",Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet]
"Valkyrie, Ascendant Nordique",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Syntoniseur／Effet]
"Mimir, Ascendant Nordique",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Elfe/Effet]
"Týr, Champion Nordique",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet]
"Vanadis, Ascendant Nordique",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Elfe/Syntoniseur／Effet]
"Mara, Alfe Nordique",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Syntoniseur／Effet]
"Thor, Seigneur des Ases",Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête-Guerrier/Synchro／Effet]
"Loki, Seigneur des Ases",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Synchro／Effet]
"Odin, Dieu des Ases",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Synchro／Effet]
Le Chemin vers Ragnarök,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Lumière Nordique,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Autorité Solennelle,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
"Brísingamen, Relique Nordique",Unlimited(OCG)/Unlimited(TCG),PIÈGE,
"Lævateinn, Relique Nordique",Unlimited(OCG)/Unlimited(TCG),PIÈGE,
"Gungnir, Relique Nordique",Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Pommes d'Or,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),PIÈGE,
Œil d'Odin,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
"Gleipnir, Chaînes de Fenrir",Unlimited(OCG)/Unlimited(TCG),PIÈGE,
"Megingjord, Relique Nordique",Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Magicien Cyber T.G.,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Syntoniseur／Effet]
Faucon Jet T.G.,Unlimited(OCG)/Unlimited(TCG),VENT,[Bête Ailée/Syntoniseur／Effet]
Rhino Rueur T.G.,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet]
Hyper Bibliothécaire T.G.,Limited(OCG)/Limited(TCG),TÉNÈBRES,[Magicien/Synchro／Effet]
Libellule Alternative T.G.,Unlimited(OCG)/Unlimited(TCG),VENT,[Insecte/Synchro／Effet]
Magicienne des Merveilles T.G.,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Synchro／Syntoniseur／Effet]
Gladiateur de Puissance T.G.,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Synchro／Effet]
TGX1-HL,Unlimited(OCG)/Unlimited(TCG),SPELL,
TGX300,Unlimited(OCG)/Unlimited(TCG),SPELL,
TGX3-DX2,Unlimited(OCG)/Unlimited(TCG),TRAP,
TG-SX1,Unlimited(OCG)/Unlimited(TCG),TRAP,
TG1-EM1,Unlimited(OCG)/Unlimited(TCG),TRAP,
Oracle du Soleil,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Effet]
Supay,Unlimited(OCG)/Unlimited(TCG),EARTH,[Fiend/Tuner／Effect]
Metaion le Seigneur du Temps,Unlimited(OCG)/Unlimited(TCG),FEU,[Elfe/Effet]
"Sephylon, le Seigneur Ultime du Temps",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet]
Parshath le Chevalier Divin,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Synchro／Effet]
Archdémon du Monde Mental,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Psychique/Synchro／Effet]
Artilleur Hyper Psychique,Unlimited(OCG)/Unlimited(TCG),TERRE,[Psychique/Synchro／Effet]
Dragon Électromécanique,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Synchro／Effet]
Ancien Dragon Féerique,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Synchro／Effet]
Ancienne Vouivre Sacrée,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Synchro／Effet]
Sergent Stygien,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Démon/Synchro／Effet]
Dragon de Vitalité,Unlimited(OCG)/Unlimited(TCG),TERRE,[Dragon/Synchro／Syntoniseur／Effet]
Vulcain le Divin,Unlimited(OCG)/Unlimited(TCG),FEU,[Bête-Guerrier/Synchro／Effet]
Vague Mentale Fréquentielle,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Téléporteur d'Urgence,Semi-Limited(OCG)/Unlimited(TCG),MAGIE,
Espace de Négation,Forbidden(OCG)/Forbidden(TCG),PIÈGE,
Terre Rugissante,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Full House,Unlimited(OCG)/Unlimited(TCG),TRAP,
Kuriboh Ailé,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),LUMIÈRE,[Elfe/Effet]
Bête Rouages Ancients,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Machine/Effet]
Soldat Rouages Ancients,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TERRE,[Machine/Effet]
Gardien Oublié,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Effet]
Hieracosphinx,Unlimited(OCG)/Unlimited(TCG),EARTH,[Rock/Effect]
Criosphinx,Unlimited(OCG)/Unlimited(TCG),EARTH,[Rock/Effect]
Canons Intercepteurs Moai,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Effet]
Golem Factice,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Flip／Effet]
Moine Combattant,Unlimited(OCG)/Unlimited(TCG),TERRE,[Rocher/Effet]
Aussa la Charmeuse de Terre,Unlimited(OCG)/Unlimited(TCG),TERRE,[Magicien/Flip／Effet]
Eria la Charmeuse d'Eau,Unlimited(OCG)/Unlimited(TCG),EAU,[Magicien/Flip／Effet]
Hiita la Charmeuse de Feu,Unlimited(OCG)/Unlimited(TCG),FEU,[Magicien/Flip／Effet]
Wynn la Charmeuse de Vent,Unlimited(OCG)/Unlimited(TCG),VENT,[Magicien/Flip／Effet]
Homme-Batterie AA,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Tonnerre/Effet]
Roi des Crânes Serviteurs,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),TÉNÈBRES,[Zombie/Effet]
"Reshef, l'Être des Ténèbres",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Démon/Rituel／Effet]
Carte d'Inviolabilité,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Contrôle Cérébral,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Don du Martyre,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),MAGIE,
Double Attaque,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Chargeur de Batterie,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Frappe Kaminote,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Bénédiction de Doriado,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Ultime Rituel des Anciens,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Ombres Mouvantes,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Formation Impénétrable,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Double Vue de Pikeru,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Bouton d'Autodestruction de Kozaky,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Dépolymérisation,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Loup Solitaire,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Fantôme Pare-Feu,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Cyberse/Effet]
Le Bystial Aluber,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Syntoniseur／Effet]
Argyros le Déchu,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Tonnerre/Effet]
"Influente Quem, la Vertueuse",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Syntoniseur／Effet]
Riumheart Mannadium,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Effet]
Intrépide Mannadium,Unlimited(OCG)/Unlimited(TCG),TERRE,[Elfe/Syntoniseur／Effet]
Nemleria Rêveuse,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Pendule／Effet]
Purrelyly,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Elfe/Effet]
Rouleau Compresseur Chenillinfini,Unlimited(OCG)/Unlimited(TCG),TERRE,[Machine/Effet]
Tsumuha-Kutsunagi le Seigneur des Épées,Unlimited(OCG)/Unlimited(TCG),VENT,[Guerrier/Spirit／Effet]
Duplex Totalement Actif,Unlimited(OCG)/Unlimited(TCG),VENT,[Cyberse/Effet]
"Moisson, Ange de la Mort",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Elfe/Pendule／Effet]
"Ringowurm, le Dragon Protecteur des Cent Pommes",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Syntoniseur／Effet]
Fana aux Oreilles de Lapin,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête-Guerrier/Effet]
Albion le Dragon Sanctifeu,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Fusion／Effet]
Cruel Saturnas de la Coléoptroupe,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Insecte/Fusion／Effet]
Double Avatar - Manifestation A-Un,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Fusion／Effet]
Commandant Shanawo Samouraï Supralourd,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Synchro／Pendule／Effet]
Bystial Dis Pater,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Dragon/Synchro／Effet]
Prime-Heart Mannadium,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Synchro／Effet]
Tellchevalier Caducée de la Constellée,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Xyz／Effet]
Dragon Pare-Feu de Singularité,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Cyberse/Lien／Effet]
Protectcodeur Bavard,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Cyberse/Lien／Effet]
GranSolfaccord Coolia,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Lien／Effet]
Chasseuse de Nuit de la Force-S,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Cyberse/Lien／Effet]
Châtiment Âmépée,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Tour des Rêves de la Princesse Nemleria,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Souvenirs Endormis Purrely,Semi-Limited(OCG)/Semi-Limited(TCG),MAGIE,
Histoire de l'Origine Libromancienne,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Symphonie Solfaccord,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Batosushi Gunkan du Jour,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Morganite Déchireuse de Temps,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Brillant et Flamboyant Roi du Marqué,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Étude du Marqué,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Briseheart Mannadium,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Un Royaume Déchiré et Incolore,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
RENFORCEMENT !,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Préservation Dinomorphia,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Traces de Piège,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
"Chevalier Moissa, le Général des Comètes",Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Guerrier/Pendule／Effet]
Bête du Nuage Doré - Malong,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Synchro／Syntoniseur／Effet]
Fierté d'Or - Char Carrie,Unlimited(OCG)/Unlimited(TCG),EAU,[Aqua/Xyz／Effet]
Fierté d'Or - C'est Sorti de Nulle Part !,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Fierté d'Or - Appuie sur le Champignon !,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Fierté d'Or - C'est Serré !,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Dragon du Souhait,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Dragon/Effet]
Adularia de la Lune de Juin,Unlimited(OCG)/Unlimited(TCG),EAU,[Magicien/Effet]
"Kittytail, Bête Mystique de la Forêt",Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet]
Baromet le Mouton-Arbuste Sacré,Unlimited(OCG)/Unlimited(TCG),TERRE,[Plante/Xyz／Effet]
Réincarnation des Septièmes Empereurs,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Renaissance des Septièmes Empereurs,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Aimant Malveillant Vitesseroid,Unlimited(OCG)/Unlimited(TCG),VENT,[Machine/Syntoniseur／Effet]
Double Diapason,Unlimited(OCG)/Unlimited(TCG),FEU,[Démon/Syntoniseur／Effet]
"Mademoiselle Majesté, Véritable Dracogicienne",Unlimited(OCG)/Unlimited(TCG),VENT,[Wyrm/Effet]
"Mariamne, Véritable Dracophénix",Unlimited(OCG)/Unlimited(TCG),VENT,[Wyrm/Effet]
"Ariel, Prêtresse des Nékroz",Unlimited(OCG)/Unlimited(TCG),EAU,[Psychique/Effet]
Lyna - Familier Possédé,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Magicien/Effet]
Main Droite du Magicien,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Main Gauche du Magicien,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Héritage du Véritable Draco,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Disciples du Véritable Dracophénix,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Rotation de Plateau,Limited(OCG)/Limited(TCG),MAGIE,
Détachement,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Les Chevaliers Fantômes du Brassard d'Avant-Bras Perdu,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Les Chevaliers Fantômes du Mauvais Anneau Magnétique,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Apocalypse du Véritable Draco,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Cascade d'Âmes de Dragon,Unlimited(OCG)/Unlimited(TCG),PIÈGE,
Esprincesse Sylvan,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Plante/Xyz／Effet]
Onikuji,Unlimited(OCG)/Unlimited(TCG),TRAP,
Secrétaire de Sauvegarde,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Cyberse/Effet]
Ranimateur de Données,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Cyberse/Effet]
Lycoris Farstar,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet]
Candina Farstar,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet]
Ver - Piratage,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet]
Vouivre - Détournement,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet]
Couronnée par le Calice du Monde,Unlimited(OCG)/Unlimited(TCG),EAU,[Magicien/Normal]
Choisi par le Calice du Monde,Unlimited(OCG)/Unlimited(TCG),FEU,[Psychique/Normal]
Appelé par le Calice du Monde,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Normal]
Dragarde du Calice du Monde,Unlimited(OCG)/Unlimited(TCG),VENT,[Dragon/Effet]
Lee la Fée du Calice du Monde,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Effet]
"Héritage du Monde - ""Calice du Monde""",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Machine/Effet]
"Jeanne la Générale, Seigneur Lumière du Crépuscule",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Guerrier/Effet]
"Lyla l'Enchanteresse, Seigneur Lumière du Crépuscule",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet]
"Lumina la Shaman, Seigneur Lumière du Crépuscule",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Magicien/Effet]
"Ryko le Combattant, Seigneur Lumière du Crépuscule",Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Bête/Effet]
Capitaine Motivateur,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet]
Panda de Trésors,Unlimited(OCG)/Unlimited(TCG),TERRE,[Bête/Effet]
Zombina,Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel),EARTH,[Zombie/Effect]
L'Ascensionné du Tonnerre,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Tonnerre/Effet]
Chevaliers de la Parade,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Effet]
Ange Houx Farstar,Unlimited(OCG)/Unlimited(TCG),LUMIÈRE,[Elfe/Lien／Effet]
Gouki Le Grand Ogre,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Lien／Effet]
Dragon Bombe Topologique,Unlimited(OCG)/Unlimited(TCG),TÉNÈBRES,[Cyberse/Lien／Effet]
Imduk le Dragon du Calice du Monde,Unlimited(OCG)/Unlimited(TCG),VENT,[Dragon/Lien／Effet]
Ib la Prêtresse du Calice du Monde,Unlimited(OCG)/Unlimited(TCG),EAU,[Magicien/Lien／Effet]
Ningirsu le Guerrier du Calice du Monde,Unlimited(OCG)/Unlimited(TCG),TERRE,[Guerrier/Lien／Effet]
Scène Lumière Farstar,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Tempête Crackage Aérien,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Univers Souriant,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Découverte de l'Héritage du Monde,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Cœur de l'Héritage du Monde,Unlimited(OCG)/Unlimited(TCG),MAGIE,
Sauvetage Sauvetadorable d'Urgence Urgente,Unlimited(OCG)/Unlimited(TCG),MAGIE,
